2026-07-08 15:10:42,476 | INFO | Request: GET https://api.github.com/repos/Narsimha91/pytest-api-demo-1 
2026-07-08 15:10:42,998 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-1: 200
2026-07-08 15:10:43,002 | INFO | Execution time of test_read_repo is: 0.53 seconds
2026-07-08 15:10:43,006 | INFO | Execution time of test_update_repo is: 0.00 seconds
2026-07-08 15:10:43,008 | INFO | Request: DELETE https://api.github.com/repos/Narsimha91/pytest-api-demo-1 
2026-07-08 15:10:43,706 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-1: 204
2026-07-08 15:10:43,708 | INFO | Execution time of test_delete_repo is: 0.70 seconds
2026-07-08 15:11:55,653 | INFO | Request: GET https://api.github.com/user 
2026-07-08 15:11:56,148 | INFO | Response of https://api.github.com/user: 200
2026-07-08 15:11:56,153 | INFO | Request: POST https://api.github.com/user/repos 
2026-07-08 15:11:58,256 | INFO | Response of https://api.github.com/user/repos: 201
2026-07-08 15:11:58,262 | INFO | Execution time of test_create_repo is: 2.11 seconds
2026-07-08 15:11:58,264 | INFO | Request: GET https://api.github.com/repos/Narsimha91/pytest-api-demo-1 
2026-07-08 15:11:58,776 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-1: 200
2026-07-08 15:11:58,779 | INFO | Execution time of test_read_repo is: 0.52 seconds
2026-07-08 15:11:58,782 | INFO | Request: PATCH https://api.github.com/repos/Narsimha91/pytest-api-demo-1 
2026-07-08 15:11:59,241 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-1: 422
2026-07-08 15:11:59,391 | INFO | Execution time of test_update_repo is: 0.61 seconds
2026-07-08 15:11:59,395 | INFO | Execution time of test_delete_repo is: 0.00 seconds
2026-07-08 15:14:15,837 | INFO | Request: GET https://api.github.com/user 
2026-07-08 15:14:16,345 | INFO | Response of https://api.github.com/user: 200
2026-07-08 15:14:16,348 | INFO | Request: POST https://api.github.com/user/repos 
2026-07-08 15:14:16,865 | INFO | Response of https://api.github.com/user/repos: 422
2026-07-08 15:14:17,035 | INFO | Execution time of test_create_repo is: 0.69 seconds
2026-07-08 15:14:17,038 | INFO | Request: GET https://api.github.com/repos/Narsimha91/pytest-api-demo-1 
2026-07-08 15:14:17,573 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-1: 200
2026-07-08 15:14:17,577 | INFO | Execution time of test_read_repo is: 0.54 seconds
2026-07-08 15:14:17,580 | INFO | Request: PATCH https://api.github.com/repos/Narsimha91/pytest-api-demo-1 
2026-07-08 15:14:18,224 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-1: 200
2026-07-08 15:14:18,228 | INFO | Execution time of test_update_repo is: 0.65 seconds
2026-07-08 15:14:18,231 | INFO | Execution time of test_delete_repo is: 0.00 seconds
2026-07-08 20:28:40,235 | INFO | Request: GET https://api.github.com/user 
2026-07-08 20:28:41,356 | INFO | Response of https://api.github.com/user: 200
2026-07-08 20:28:41,364 | INFO | Execution time of test_create_repo is: 0.00 seconds
2026-07-08 20:28:41,366 | INFO | Request: GET https://api.github.com/repos/Narsimha91/pytest-api-demo-1 
2026-07-08 20:28:42,791 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-1: 200
2026-07-08 20:28:42,797 | INFO | Execution time of test_read_repo is: 1.43 seconds
2026-07-08 20:28:42,799 | INFO | Request: PATCH https://api.github.com/repos/Narsimha91/pytest-api-demo-1 
2026-07-08 20:28:43,456 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-1: 200
2026-07-08 20:28:43,462 | INFO | Execution time of test_update_repo is: 0.66 seconds
2026-07-08 20:28:43,465 | INFO | Execution time of test_delete_repo is: 0.00 seconds
2026-07-09 05:49:53,946 | INFO | Request: GET https://api.github.com/user 
2026-07-09 05:49:54,608 | INFO | Response of https://api.github.com/user: 200
2026-07-09 05:49:54,621 | INFO | Execution time of test_create_repo is: 0.01 seconds
2026-07-09 05:49:54,622 | INFO | Request: GET https://api.github.com/repos/Narsimha91/pytest-api-demo-1 
2026-07-09 05:49:55,218 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-1: 200
2026-07-09 05:49:55,224 | INFO | Execution time of test_read_repo is: 0.60 seconds
2026-07-09 05:49:55,229 | INFO | Request: PATCH https://api.github.com/repos/Narsimha91/pytest-api-demo-1 
2026-07-09 05:49:55,757 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-1: 200
2026-07-09 05:49:55,760 | INFO | Execution time of test_update_repo is: 0.53 seconds
2026-07-09 05:49:55,764 | INFO | Execution time of test_delete_repo is: 0.00 seconds
2026-07-09 07:38:34,632 | INFO | Request: GET https://api.github.com/user 
2026-07-09 07:38:35,186 | INFO | Response of https://api.github.com/user: 200
2026-07-09 07:38:35,189 | INFO | Request: POST https://api.github.com/user/repos 
2026-07-09 07:38:37,500 | INFO | Response of https://api.github.com/user/repos: 201
2026-07-09 07:38:37,503 | INFO | Execution time of test_create_repo is: 2.31 seconds
2026-07-09 07:38:37,506 | INFO | Request: GET https://api.github.com/repos/Narsimha91/pytest-api-demo-1 
2026-07-09 07:38:38,052 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-1: 200
2026-07-09 07:38:38,056 | INFO | Execution time of test_read_repo is: 0.55 seconds
2026-07-09 07:38:38,059 | INFO | Request: PATCH https://api.github.com/repos/Narsimha91/pytest-api-demo-1 
2026-07-09 07:38:38,701 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-1: 422
2026-07-09 07:38:38,871 | INFO | Execution time of test_update_repo is: 0.81 seconds
2026-07-09 07:38:38,875 | INFO | Execution time of test_delete_repo is: 0.00 seconds
2026-07-09 08:53:54,925 | INFO | Request: GET https://api.github.com/user 
2026-07-09 08:53:55,373 | INFO | Response of https://api.github.com/user: 200
2026-07-09 08:53:55,377 | INFO | Request: POST https://api.github.com/user/repos 
2026-07-09 08:53:56,134 | INFO | Response of https://api.github.com/user/repos: 422
2026-07-09 08:53:56,285 | INFO | Execution time of test_create_repo is: 0.91 seconds
2026-07-09 08:53:56,289 | INFO | Request: GET https://api.github.com/repos/Narsimha91/pytest-api-demo-1 
2026-07-09 08:53:56,867 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-1: 200
2026-07-09 08:53:56,871 | INFO | Execution time of test_read_repo is: 0.58 seconds
2026-07-09 08:53:56,874 | INFO | Request: PATCH https://api.github.com/repos/Narsimha91/pytest-api-demo-2 
2026-07-09 08:53:57,359 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-2: 200
2026-07-09 08:53:57,362 | INFO | Execution time of test_update_repo is: 0.49 seconds
2026-07-09 08:53:57,364 | INFO | Request: DELETE https://api.github.com/repos/Narsimha91/pytest-api-demo-2 
2026-07-09 08:53:57,974 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-2: 204
2026-07-09 08:53:57,977 | INFO | Execution time of test_delete_repo is: 0.61 seconds
2026-07-09 08:54:55,982 | INFO | Request: GET https://api.github.com/user 
2026-07-09 08:54:56,470 | INFO | Response of https://api.github.com/user: 200
2026-07-09 08:54:56,474 | INFO | Request: POST https://api.github.com/user/repos 
2026-07-09 08:54:58,526 | INFO | Response of https://api.github.com/user/repos: 201
2026-07-09 08:54:58,531 | INFO | Execution time of test_create_repo is: 2.06 seconds
2026-07-09 08:54:58,535 | INFO | Request: GET https://api.github.com/repos/Narsimha91/pytest-api-demo-1 
2026-07-09 08:54:59,006 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-1: 200
2026-07-09 08:54:59,012 | INFO | Execution time of test_read_repo is: 0.48 seconds
2026-07-09 08:54:59,014 | INFO | Request: PATCH https://api.github.com/repos/Narsimha91/pytest-api-demo-2 
2026-07-09 08:54:59,826 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-2: 200
2026-07-09 08:54:59,832 | INFO | Execution time of test_update_repo is: 0.82 seconds
2026-07-09 08:54:59,837 | INFO | Execution time of test_delete_repo is: 0.00 seconds
2026-07-09 08:55:36,532 | INFO | Request: GET https://api.github.com/user 
2026-07-09 08:55:36,996 | INFO | Response of https://api.github.com/user: 200
2026-07-09 08:55:37,000 | INFO | Execution time of test_create_repo is: 0.00 seconds
2026-07-09 08:55:37,002 | INFO | Request: GET https://api.github.com/repos/Narsimha91/pytest-api-demo-1 
2026-07-09 08:55:37,534 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-1: 200
2026-07-09 08:55:37,538 | INFO | Execution time of test_read_repo is: 0.54 seconds
2026-07-09 08:55:37,541 | INFO | Request: PATCH https://api.github.com/repos/Narsimha91/pytest-api-demo-2 
2026-07-09 08:55:38,027 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-2: 200
2026-07-09 08:55:38,031 | INFO | Execution time of test_update_repo is: 0.49 seconds
2026-07-09 08:55:38,035 | INFO | Execution time of test_delete_repo is: 0.00 seconds
2026-07-09 08:55:38,036 | INFO | Request: GET https://api.github.com/repos/Narsimha91/pytest-api-demo-1/git/ref/heads/main 
2026-07-09 08:55:38,662 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-1/git/ref/heads/main: 200
2026-07-09 08:55:38,667 | INFO | Execution time of test_get_last_commit is: 0.63 seconds
2026-07-09 09:01:39,686 | INFO | Request: GET https://api.github.com/user 
2026-07-09 09:01:40,393 | INFO | Response of https://api.github.com/user: 200
2026-07-09 09:01:40,398 | INFO | Execution time of test_create_repo is: 0.00 seconds
2026-07-09 09:01:40,400 | INFO | Request: GET https://api.github.com/repos/Narsimha91/pytest-api-demo-1 
2026-07-09 09:01:41,023 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-1: 200
2026-07-09 09:01:41,027 | INFO | Execution time of test_read_repo is: 0.63 seconds
2026-07-09 09:01:41,029 | INFO | Request: PATCH https://api.github.com/repos/Narsimha91/pytest-api-demo-2 
2026-07-09 09:01:42,083 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-2: 200
2026-07-09 09:01:42,086 | INFO | Execution time of test_update_repo is: 1.06 seconds
2026-07-09 09:01:42,091 | INFO | Execution time of test_delete_repo is: 0.00 seconds
2026-07-09 09:01:42,093 | INFO | Request: GET https://api.github.com/repos/Narsimha91/pytest-api-demo-1/git/ref/heads/main 
2026-07-09 09:01:42,577 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-1/git/ref/heads/main: 200
2026-07-09 09:01:42,583 | INFO | Execution time of test_get_last_commit is: 0.49 seconds
2026-07-09 09:15:12,806 | INFO | Request: GET https://api.github.com/user 
2026-07-09 09:15:13,380 | INFO | Response of https://api.github.com/user: 200
2026-07-09 09:15:13,384 | INFO | Execution time of test_create_repo is: 0.00 seconds
2026-07-09 09:15:13,386 | INFO | Request: GET https://api.github.com/repos/Narsimha91/pytest-api-demo-1 
2026-07-09 09:15:13,887 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-1: 200
2026-07-09 09:15:13,892 | INFO | Execution time of test_read_repo is: 0.51 seconds
2026-07-09 09:15:13,894 | INFO | Request: PATCH https://api.github.com/repos/Narsimha91/pytest-api-demo-2 
